year,WI,WA,OR,OK,OH,NM,NJ,KS,IN,AK,TX,VA,CO,KY,CA,NE,PA,MD,GA,CT,FL,ID,IA,IL,MN,AL,NC,HI,AR
1989,0.08357324840764331,0.13224847721067004,0.12371702127659574,0.1106187965260546,0.09513725130650041,0.13179384816753928,0.10571458117890382,0.09994866693195384,0.08910763454317898,0.09570967741935484,0.15911753281148844,0.0845683830764185,0.1213014772384685,0.06660799570700295,0.135922719609125,0.08206952203600248,0.0675171926910299,0.11180080954409885,0.14173710379117463,0.105731089842544,0.17635908768053035,0.07884023668639054,0.08190211267605634,0.1131668382226797,0.0879579600275672,0.09277294803302574,0.10540922234058743,0.12573111510791368,0.09134413965087282
1990,0.0881660601716884,0.12482791185470542,0.11342666785349016,0.11248527698345459,0.09735372032102545,0.13391931324579937,0.10931299471629927,0.10413412475268145,0.09403229597130963,0.10339373467165294,0.15711650009330932,0.0891427326493796,0.12155862352833328,0.06626333407140159,0.13272349505398534,0.08450663177868517,0.06991070174385815,0.11718221265937574,0.13552851587535827,0.1080384750644638,0.17647604415112592,0.08133208972643628,0.08232163082446957,0.11911157435102718,0.09101142625572586,0.0983980792889746,0.11008763943477369,0.12253514390978759,0.09764476916695913
1991,0.0895773965691221,0.12648644878437623,0.11562114989733059,0.11389102362204724,0.10114781972758022,0.1338378552971576,0.10898453608247423,0.11105250501002004,0.09672299465240641,0.11438771929824561,0.15695982477376216,0.0924977728285078,0.12196446550192479,0.06750175060597899,0.1360801184990125,0.08733019460138104,0.07160705626619848,0.12475205761316872,0.13013951381549146,0.10761045274992403,0.1712002711455901,0.0841684311838306,0.08268050089445439,0.1229973143896734,0.09013876353790613,0.10752946930789924,0.1181831675820098,0.11972070484581498,0.10380649241146711
1992,0.08665967645296585,0.12391608255451714,0.11698757138058448,0.10906569115815691,0.09376733841684821,0.12893295382669195,0.10161548337398896,0.10671739992072929,0.09410243730130696,0.1117274275979557,0.14171001359311283,0.08627614865924416,0.1196207492795389,0.06675685752330227,0.13430155181909484,0.08667434620174347,0.06826888167207927,0.12500366748166258,0.12835476225744336,0.10145473940871685,0.1674210409252669,0.08017525773195876,0.07931116642958748,0.11564439858997506,0.09203080357142857,0.10557011605415861,0.11642875931608944,0.12254913793103449,0.095528553563985
1993,0.08135510123064708,0.11941560418648905,0.11583937994722955,0.10633395233673786,0.09012532684158327,0.12559158415841584,0.09632440665059018,0.0995349664164362,0.08958270610887449,0.1117212020033389,0.1293430758138761,0.0826316438145124,0.11094924284913067,0.06548033782000527,0.12978994585242382,0.08586372121966397,0.06582495019920319,0.1226122860020141,0.12408977880584068,0.09331736344217272,0.16726493164705022,0.07712829845313922,0.07719864960909736,0.11260861759425493,0.08849258357316803,0.09776379269166467,0.11338502519798416,0.12585324232081913,0.09647772277227723
1994,0.07918378591105864,0.12100205876848212,0.12647764095917044,0.11186372007366482,0.08969708160691767,0.12398548972188633,0.09354238360323887,0.0969389193422083,0.09220949235048678,0.11461551155115511,0.1179843290891283,0.08130082417582418,0.10680552516411379,0.06706846093545858,0.1240696446183704,0.08912692544670364,0.06588242615333555,0.12304454654414702,0.12041956059532247,0.09129496183206107,0.16524704364652762,0.08185260370697264,0.07335454224107459,0.11271689925119129,0.08708495730238669,0.0982303863474757,0.11292630834512023,0.13396946564885495,0.09622951487973909
1995,0.07800819832129612,0.12579175105873688,0.1318287169691181,0.11240115924344113,0.08851134427405614,0.12882967359050446,0.09439081183134046,0.09773879142300194,0.0929686369119421,0.11546854304635762,0.11419397564622943,0.0801104563312179,0.10833573525487056,0.0674080310880829,0.11716325303111842,0.09122052535125229,0.06771545725646123,0.12651328837762793,0.12029648659908346,0.09045923664122138,0.15426768318509107,0.088335339638865,0.08227938071780436,0.1092356720202874,0.0902060737527115,0.097167881495415,0.1131492703266157,0.14429317607413647,0.09408454106280194
1996,0.07670503875968993,0.11854816555214169,0.12041385767790262,0.11357437140260528,0.08954345296697395,0.1323409223584355,0.0869580620931397,0.09363452566096422,0.09029635336414997,0.10930313014827019,0.11470666039314094,0.07965093632958802,0.10274313366466126,0.06346343975283213,0.1047184265010352,0.08902179176755448,0.07155184140676842,0.121738761829653,0.1264188766489868,0.08489859499083689,0.15007791666666667,0.0805063078216989,0.07320406732117812,0.10655482400607749,0.08960390725633319,0.09662251345658787,0.11089553461696026,0.13198902027027026,0.09423426294820716
1997,0.07378471953578336,0.11887789661319073,0.1258704902867715,0.11029424178474526,0.09056990881458966,0.13831329479768786,0.08144840432137092,0.10304739884393063,0.08956582537517054,0.10573727422003285,0.1100621945573332,0.07783664983664984,0.09335807860262009,0.0626578812691914,0.09779908888062477,0.08593059746529873,0.0691054908485857,0.1135512367491166,0.11600133582687684,0.0799348623853211,0.14566227651153268,0.07876942148760331,0.07652068723702665,0.10297410894418292,0.08856402048655569,0.09798680250057884,0.11018356902356902,0.12077927548441449,0.09460721363456202
1998,0.0709844946401225,0.11773229038495342,0.11340889701401584,0.10046638780997909,0.0868633241145508,0.13462809441565918,0.07334417744916821,0.0974408520349943,0.0836175622986947,0.09583061889250814,0.1026623987854251,0.07348196141952584,0.09011835809619743,0.06241742886178862,0.0872948541341415,0.08836440168370414,0.06591334055495375,0.10781850048685492,0.10942881444647998,0.07600610873549175,0.13796165191740414,0.07454353132628153,0.07024458420684836,0.0972988792029888,0.08121185185185185,0.09209581801470589,0.10675881261595548,0.10697401508801341,0.08589125295508274
1999,0.06611685940584856,0.10544752144627483,0.100499253050371,0.09407083409270396,0.08022694843423277,0.1194986447060771,0.06823073669857303,0.08877218682979836,0.07552977914321642,0.0874818401937046,0.1010562138831492,0.06772878803045929,0.08158657519366352,0.05917630796614342,0.07653548768158065,0.08243318839779404,0.06271394001808903,0.09885057604617806,0.1031135404147792,0.06803226416813248,0.12435144320348476,0.06321882240153391,0.06469859863323962,0.09041503516136133,0.07219043502806403,0.08838425561264864,0.10380066683318544,0.09700572839914398,0.08103871915239363
2000,0.06438868872554732,0.10247600956953548,0.09739524679816648,0.09154438549909669,0.0811308589517966,0.11064206182801314,0.06343306375418184,0.08817602024685149,0.07523544585670386,0.0853106876024832,0.09950459959850028,0.0605629853154228,0.07982496295853704,0.059290622497228315,0.07522069785326063,0.08214809763315166,0.06031974128604923,0.09676245722163714,0.09517589608100113,0.06484415948601774,0.11411355681864113,0.06372410744439713,0.0646749983938894,0.08488816553406059,0.07004278298575926,0.09105979177441478,0.09865848178596111,0.10431295123467133,0.08250168324979427
2001,0.06656262075821313,0.10328912351774204,0.10132027577264159,0.09221181717540784,0.08380316221948,0.10662803431033871,0.06454723446372955,0.08646935282416617,0.07667826119032575,0.08524691065763931,0.10322735271465987,0.06373752040851774,0.08448204227092417,0.05803727669179437,0.07830184237708034,0.08649687594292921,0.05933949676439377,0.09763670380623826,0.09283987476558997,0.06237957119922483,0.111770482852297,0.06290924098032312,0.06603314430210162,0.08219970772095427,0.0717750000752327,0.0864237201359078,0.09880448763451113,0.1079041648737107,0.08280519746554159
2002,0.06525902569483713,0.10251011198175064,0.0977779229651555,0.09530991202682179,0.08258093232190629,0.10193602311824125,0.0608470748148276,0.08212867688951382,0.07523851644484826,0.08688474501233082,0.10437828717723413,0.06309958699634692,0.08739358874182941,0.05861550942803868,0.07952971582812472,0.08547006073291641,0.057063903970750826,0.09552657771499076,0.09048028412904721,0.060454168132824185,0.10874421965742137,0.06360395614999062,0.06920336258106709,0.08054743328280015,0.07089230178926845,0.08959038120108169,0.09487202949257267,0.12171153649298802,0.08344258587841263
2003,0.062220854211231046,0.10238729221773268,0.10157785614687753,0.09672066115513926,0.07996149568793672,0.095309603835274,0.05846238295512873,0.08846529599021721,0.074390147318258,0.08758252606898254,0.1034062944417445,0.060210169763990094,0.08628708605113913,0.05524078666617778,0.08050298014432737,0.08113037597663275,0.056745094339790414,0.09044629202639184,0.09443574914193116,0.059826611145525045,0.10395636119175389,0.06373872193376316,0.06528571273185098,0.07704160782513395,0.06781621951229144,0.08962867634487533,0.09471820490928241,0.11134529991871904,0.08198443126153412
2004,0.057660233889757724,0.10415083116832065,0.09906740142948513,0.09518309112467951,0.08032519768530402,0.09787410023930561,0.05594550524422907,0.08816119708950919,0.0748322863896898,0.08033690355831578,0.10106962363831705,0.05929425401786741,0.08606353875998218,0.055735682372668155,0.07938719890872277,0.07674068377711557,0.056746915620682806,0.08724834266323248,0.09363208359062758,0.0596324742795443,0.09806470130448312,0.060788881402583254,0.06406676275286972,0.07447583451751477,0.06649993937070321,0.08923172112808331,0.09239388286449876,0.10142030418564262,0.09094654545454546
2005,0.05835017595199691,0.10503347240634346,0.09416849346954041,0.09146812618916861,0.08064592480745483,0.09573646731412758,0.05400596335809448,0.08421598065914361,0.07588470446706273,0.08518167275534373,0.09723942787729581,0.05887569376627954,0.08905548544537714,0.05614641969722533,0.07727110806956668,0.07454997062274658,0.057140114086279566,0.08553601072277278,0.09197614292520394,0.057164550757119785,0.0945733305095606,0.05928288536114238,0.06296728672571862,0.07294969451472325,0.06792446426471097,0.08674772064541533,0.09122464574349674,0.10162352604851416,0.09218981247306994
2006,0.06230948009414549,0.09750761359254936,0.0805483633352951,0.08283499273024342,0.08134182888560958,0.09118340897544713,0.05275807605197282,0.0844362037933124,0.0756277005537323,0.08565143354331672,0.09228573362277506,0.05568866412207748,0.07696759587972929,0.05754844065986476,0.07465293401923426,0.0731441115944922,0.05801020704673826,0.08363885922517245,0.08717910546424844,0.05786763272977215,0.09419699005322753,0.0531113937257282,0.062425785985308936,0.07136199663808442,0.06815388357998034,0.08747040136724483,0.0920727758861989,0.09054856561426,0.09102086469963769
2007,0.06286783870437943,0.08796393062668743,0.07711473520028926,0.08154720240089613,0.07681184053220233,0.09010033427838257,0.05101152209552932,0.08366291462130543,0.07434759866729475,0.08119500554516751,0.09290289059996536,0.055402613895505125,0.0672533150674224,0.05681515435435888,0.07166529674612752,0.0691530516389595,0.0557980862223063,0.08186237795336135,0.08778815579245135,0.05557647826048472,0.0963732716725102,0.050880951205880744,0.059182823825336024,0.06951539881430514,0.06692388690903012,0.08868046961753955,0.09120980921378492,0.08833961358529144,0.09009287084754217
2008,0.060906895864883355,0.08305564140117974,0.07158752104188325,0.08045578129131077,0.07555892393375883,0.08967191370903205,0.052539423110035045,0.07628150545263003,0.07396854092151665,0.07183083610061591,0.09015576700990431,0.05599549702674277,0.06375803327329974,0.05965246782510725,0.06919419731920191,0.0639065576932566,0.05662405220834141,0.08332065641188037,0.09004667065328177,0.05609279194985108,0.09672725407756512,0.04692298807730067,0.05477068696493487,0.06928455102687946,0.06280983060087622,0.09088140028743645,0.0904225292857163,0.07717524790443706,0.08780761997485458
2009,0.05757383053681721,0.08055391536412125,0.06552443148980684,0.08210629093719912,0.07216482877191494,0.08715108094807558,0.04786845356756789,0.07295120846248351,0.0691055878979554,0.07174794158113484,0.09036832010198245,0.05401676352569396,0.06040681045099177,0.05577229896388899,0.06433471177055232,0.061295689291942256,0.051798656809760944,0.07607714250322574,0.08214982870954748,0.053102247456717586,0.08918609152922848,0.045471571049572355,0.05242671191705986,0.06482637381976047,0.05795776624345308,0.0847124094337555,0.08157589412682216,0.07924238984911726,0.08602952118915365
2010,0.05526894706798141,0.08045440052202671,0.06607948452609103,0.07876236907555588,0.0718961952399244,0.08048063979460897,0.04786448645977149,0.07000629209521875,0.06805202952814075,0.06969163168315723,0.08452237803713755,0.05114997557936842,0.060166309671826256,0.056182763111071135,0.06159935731231593,0.05905938394910556,0.05095409382277738,0.07111159429633263,0.08095266581872596,0.04953547729575013,0.08195497195042968,0.04457953716563279,0.05060189456304861,0.0634259670237767,0.05624350127611306,0.07838841509833763,0.0763127764445933,0.07260083367623642,0.08135917863846648
2011,0.05412548120850258,0.077682582258616,0.06826172907550199,0.07686428940825224,0.07232159204131841,0.08242802863748716,0.04920964013450034,0.06914505575208352,0.07004224602319734,0.0652640013262233,0.07803305724636035,0.049234340327407984,0.0584003837146439,0.05946692485642851,0.06009802639230889,0.0604488897718748,0.05187144517538835,0.06726520368273566,0.08043171640954459,0.04867431693105422,0.08073377254751035,0.04570246201406288,0.05233842140115016,0.06229342525423508,0.05569035881479603,0.08066946049171793,0.07710828492867602,0.06895943703383356,0.08501311176615116
2012,0.05499100890654538,0.07993075881344414,0.07003203496793811,0.07838633254537736,0.07046462525721606,0.08348915787553875,0.046826088559791215,0.0705372361109282,0.06765168982385769,0.06721146038583774,0.07560425245644838,0.047576242623947246,0.06003382241459513,0.05617058585803234,0.0639009683136351,0.06048454469507101,0.05058085036791564,0.06493892471334956,0.07619644751335415,0.04874984861203336,0.07535406624246296,0.04424632894415232,0.05125138250279102,0.06029207521926934,0.05615332309969838,0.07933155759551372,0.07467119611044479,0.06755389938780942,0.083749628791916
2013,0.04950031804195507,0.08028128944259767,0.06874880984748737,0.07475556159972262,0.06454629081131576,0.08830104054109095,0.043472357409559015,0.0662507541091394,0.06440853526854697,0.07052338459076118,0.07342019359881824,0.04556025171864052,0.05936909982120929,0.051845595366651794,0.061271523517245394,0.05805179219130976,0.04801453624108228,0.06289401264949096,0.07561673072857485,0.04492600173198372,0.0714273870450321,0.0419129450293674,0.04957312275716035,0.05417556982819665,0.05321482978794038,0.07573423726457365,0.06903337696926475,0.06950028637595662,0.08141471188147757
2014,0.04777363462230303,0.07986078764112298,0.06741107604196413,0.06902678362000304,0.06152100741933387,0.0829980528077017,0.039959417571220616,0.06240329480686868,0.060450174904666344,0.06808394591382357,0.06858210647524722,0.04296347137125427,0.05704303617081822,0.0497092768305067,0.056945824622732386,0.05609034615343764,0.04506037979275377,0.05946149394528785,0.07499743491518185,0.043426518918359545,0.06790893543409887,0.041586585808958375,0.04745840222210716,0.04946604959762661,0.0506502966305518,0.0723985233608953,0.06417697822026447,0.0696465498849856,0.07680238368497068
2015,0.045757452767397996,0.07558897754141243,0.06496864062670046,0.06714210472706501,0.058481063050782024,0.08753283136120843,0.037800569217723484,0.06321246517983665,0.059765290419987516,0.07126929453212581,0.06519936336019588,0.0418210172179865,0.059400027785837625,0.04864563235050494,0.06131655329007533,0.050587058056305825,0.04271420423417812,0.05711976164069189,0.0696794065688975,0.04111383563057748,0.06566054071654738,0.03948626233340674,0.04710254366035586,0.04796267199582648,0.04946780034783814,0.06927537276917926,0.06204080322975578,0.069094574403658,0.07616662071633488
2016,0.04500411143967599,0.07627084656995929,0.06518886859460464,0.06949645861593126,0.058158387562664796,0.09276303422983823,0.03567689445443383,0.06480792067766929,0.05889622968441245,0.08337985926243591,0.06398307936444911,0.04189066811815012,0.06207838730006031,0.04890204555204072,0.06009439625069688,0.05133248375054977,0.04124466209460561,0.056175258334284967,0.06750607449178853,0.040835246126680574,0.06228007925219406,0.039681528738245715,0.0480668466167061,0.04995175185260265,0.04754219418828789,0.06981274733594689,0.06226389328254513,0.0644614655595398,0.07692243337278812
2017,0.04276188175829253,0.0695579731926708,0.06494441700557953,0.06711445746368852,0.05416743933473301,0.09394500321248499,0.036221234458785875,0.06275283961976014,0.055741956330267406,0.08816198197857218,0.05993651668376307,0.04033994679633942,0.06177422611719364,0.04779793950165631,0.059391032070098417,0.05205220134805679,0.039261489453808765,0.05493842129260098,0.06438658011505749,0.04029626064669211,0.058484435099098946,0.038116148429464355,0.0476530846277735,0.048769939081177854,0.04886430065255008,0.0695755181410919,0.05922586361335047,0.06210139987066451,0.07438235869033502
2018,0.037487305003300955,0.06579806214063535,0.06459023512357821,0.06775661857731836,0.05017693470925524,0.08458906286062155,0.0323869221614839,0.06225271428223039,0.051455179503478235,0.08423849095205124,0.05593596292611049,0.037789459147710126,0.06242507186863006,0.044461375792311984,0.05689127361017504,0.04759936311223329,0.03600545335718786,0.050236074675743175,0.059712603715052166,0.037495520114685064,0.05352584411162759,0.034396893294396685,0.041591263214527774,0.047111581787133,0.04452656312625429,0.06737755594115083,0.05411065619366544,0.06316305937027707,0.0706677303269094
2019,0.035471221020018436,0.06071034186390797,0.061860015236772425,0.0662364202474527,0.047151769327372695,0.08020445468114919,0.030867173126682412,0.05378806475923004,0.04648901130736695,0.07563491425198643,0.05663285839751716,0.03721237840732381,0.060141676128065605,0.04270064138611847,0.055766640016978716,0.047094259408839316,0.0342772881039697,0.0481922736324669,0.06206405332319661,0.032398846670042974,0.05051145409261915,0.02960549115177803,0.04285737796857573,0.045518135801033505,0.04666977420247646,0.06254975330916174,0.05553115665516088,0.06296768542294338,0.0687150052052559
2020,0.03627867583458991,0.06069710819833389,0.05933127070166335,0.0635045919358076,0.043285179775591265,0.07258349756138553,0.027109766074846456,0.052658293880338596,0.0429373823918538,0.062158931448469415,0.05393106492921385,0.03337371485431164,0.06536714327948719,0.04085229977055117,0.05191823182223933,0.044942277678224896,0.04071537653871229,0.04026188438789775,0.04820972739819181,0.03499600506718291,0.0431205791367648,0.027172613036307695,0.040167077543312744,0.039832199009654796,0.048181283719456944,0.05181313460930458,0.053048617074353564,0.05364866958634149,0.0658902987670111
