State_Abbr,number,averaged_Degree_of_Shortage,averaged_HPSA_Score,MIN(Designation_Date),MAX(Designation_Date),AVG(Designation_Date),MIN(HPSA_Withdrawn_Date),MAX(HPSA_Withdrawn_Date),AVG(HPSA_Withdrawn_Date),bnd_max_desig_year,bnd_avg_withdr_year,pvals_max_des_date,av_crime_A_max_des,av_crime_B_max_des,av_crime_A_wd,av_crime_B_wd,pvals_ave_withdraw_date
NE,1,6.0,15.0,2016-12-23,2016-12-23,2016.0,2019-06-25,2019-06-25,2019.0,2016,2017,2.5110040726918025e-05,0.07621408662937437,0.047922025386838575,0.07559455110934057,0.0465453000664325,0.00020992583767265725
PA,5,5.08,7.8,2000-06-30,2009-11-18,2007.0,2019-06-25,2019-06-25,2019.0,2009,2017,7.51101638399348e-12,0.06389757737308097,0.04369997992567088,0.06026991178841076,0.03699937266662329,0.00010609894281048166
MD,4,5.075,6.75,2001-02-02,2001-02-02,2001.0,2019-06-25,2019-06-25,2019.0,2001,2017,7.113908193552576e-14,0.11561509259023653,0.06927637697220579,0.09837712972695496,0.04623007756536927,0.0006155011294374525
GA,5,3.9400000000000004,16.8,1998-07-31,2016-06-24,2008.0,2019-06-25,2019-06-25,2019.0,2016,2017,0.00010575642744768804,0.10157332628746901,0.05859324113787452,0.1006198199753559,0.056662128145480196,0.0006531694875348047
CT,2,3.8,13.5,2007-02-27,2016-07-19,2011.5,2019-06-25,2019-06-25,2019.0,2016,2017,0.002152141280321298,0.0778464559352362,0.036296658124650764,0.07688363041501711,0.034963457283970316,0.00738168543079268
FL,6,3.233333333333334,10.5,1979-05-16,2009-11-17,1997.3333333333333,2019-06-25,2019-06-25,2019.0,2009,2017,9.562148100836717e-10,0.13921782783274647,0.064632915057126,0.12511684233596196,0.04905262578033718,0.001810883104865963
ID,1,2.8,15.0,2009-11-23,2009-11-23,2009.0,2019-06-25,2019-06-25,2019.0,2009,2017,3.076500987269753e-10,0.07324059084651557,0.038771526904161184,0.06681461832577626,0.030391665827494137,0.0009248000675512546
IA,2,1.75,10.5,2009-01-23,2015-12-04,2012.0,2019-06-25,2019-06-25,2019.0,2015,2017,0.00010767749782235004,0.07040444261815217,0.044067129994179166,0.06924831559272077,0.041538572908805416,0.0016781551507633813
IL,6,1.683333333333333,11.0,2007-01-22,2007-08-10,2007.0,2017-06-26,2019-06-25,2018.6666666666667,2007,2017,2.1047062332810854e-11,0.10205307295681151,0.05407002240747483,0.09051249975504831,0.04415397219927377,0.0032778339209203027
MN,1,1.3,15.0,2004-04-20,2004-04-20,2004.0,2019-06-25,2019-06-25,2019.0,2004,2017,3.173178865599913e-13,0.0839359878860119,0.055060878590250883,0.07497261849825988,0.04645920701606256,0.0027813270742375606
AL,3,0.5666666666666665,10.0,2008-01-04,2008-01-04,2008.0,2019-06-25,2019-06-25,2019.0,2008,2017,1.5328915336206143e-09,0.09179298192614328,0.07180322377921908,0.08804327434039254,0.06058014795320572,1.947206413909272e-05
NC,1,0.5,12.0,2009-01-07,2009-01-07,2009.0,2019-06-25,2019-06-25,2019.0,2009,2017,2.7847664160149875e-11,0.09792431092791219,0.06432032752018858,0.09180735414267109,0.05423014330772663,0.00024021206063805977
HI,1,0.2,6.0,2002-09-06,2002-09-06,2002.0,2019-06-25,2019-06-25,2019.0,2002,2017,1.9198431487026563e-12,0.12190411642547994,0.07629960042656819,0.10562338942333806,0.059926471459853976,0.0034849693005410865
AR,1,0.0,12.0,2009-10-08,2009-10-08,2009.0,2019-06-25,2019-06-25,2019.0,2009,2017,0.0029067183464633614,0.08583325743248475,0.07646213289469239,0.08452926687049915,0.06842434476639213,0.0027024802568723495
